element,wavelength,intensity,acc,state,source,reference,unit
Zn,1432.15,100,,3,nist,L65,A
Zn,1456.72,200,,3,nist,L65,A
Zn,1464.20,100,,3,nist,L65,A
Zn,1465.75,100,,3,nist,L65,A
Zn,1473.41,300,,3,nist,L65,A
Zn,1489.26,100,,3,nist,L65,A
Zn,1490.96,100,,3,nist,L65,A
Zn,1498.79,200,,3,nist,L65,A
Zn,1499.42,300,,3,nist,L65,A
Zn,1500.42,300,,3,nist,L65,A
Zn,1505.92,300,,3,nist,L65,A
Zn,1515.85,300,,3,nist,L65,A
Zn,1533.09,0,,3,nist,L65,A
Zn,1552.30,300,,3,nist,L65,A
Zn,1552.94,200,,3,nist,L65,A
Zn,1553.11,0,,3,nist,L65,A
Zn,1560.79,200,,3,nist,L65,A
Zn,1562.55,150,,3,nist,L65,A
Zn,1581.53,200,,3,nist,L65,A
Zn,1582.06,100,,3,nist,L65,A
Zn,1598.52,100,,3,nist,L65,A
Zn,1600.87,100,,3,nist,L65,A
Zn,1619.61,100,,3,nist,L65,A
Zn,1622.51,150,,3,nist,L65,A
Zn,1629.19,200,,3,nist,L65,A
Zn,1639.33,200,,3,nist,L65,A
Zn,1644.82,150,,3,nist,L65,A
Zn,1651.74,100,,3,nist,L65,A
Zn,1673.05,200,,3,nist,L65,A
Zn,1688.59,100,,3,nist,L65,A
Zn,1695.40,0,,3,nist,L65,A
Zn,1706.65,0,,3,nist,L65,A
Zn,1749.63,0,,3,nist,L65,A
Zn,1753.84,0,,3,nist,L65,A
Zn,1767.69,100,,3,nist,L65,A
Zn,1839.32,0,,3,nist,L65,A
Zn,677.63,1000,,3,nist,L65,A
Zn,677.96,750,,3,nist,L65,A
Zn,713.90,200,,3,nist,L65,A
