element,wavelength,intensity,acc,state,source,reference,unit
Mo,1004.107,14000,E,5,nist,L19131,A
Mo,1009.344,2300,C,5,nist,L19131,A
Mo,1011.891,46000,C,5,nist,L19131,A
Mo,1013.547,2300,C,5,nist,L19131,A
Mo,1017.691,360,E,5,nist,L19131,A
Mo,1021.992,9000,D,5,nist,L19131,A
Mo,1024.741,36000,C,5,nist,L19131,A
Mo,1025.546,6700,E,5,nist,L19131,A
Mo,1030.221,6600,E,5,nist,L19131,A
Mo,1031.166,2200,E,5,nist,L19131,A
Mo,1032.851,2200,E,5,nist,L19131,A
Mo,1035.057,3200,E,5,nist,L19131,A
Mo,1050.580,16000,C,5,nist,L19131,A
Mo,1052.761,32000,C,5,nist,L19131,A
Mo,1056.994,12000,E,5,nist,L19131,A
Mo,1059.302,770,B,5,nist,L19131,A
Mo,1059.787,3100,C,5,nist,L19131,A
Mo,1063.570,2800,E,5,nist,L19131,A
Mo,1068.277,11000,E,5,nist,L19131,A
Mo,1072.806,25000,B,5,nist,L19131,A
Mo,1072.969,18000,C,5,nist,L19131,A
Mo,1075.561,6900,E,5,nist,L19131,A
Mo,1077.629,2600,C,5,nist,L19131,A
Mo,1078.062,6800,E,5,nist,L19131,A
Mo,1079.619,34000,C,5,nist,L19131,A
Mo,1083.098,1300,C,5,nist,L19131,A
Mo,1084.229,1600,C,5,nist,L19131,A
Mo,1089.825,15000,E,5,nist,L19131,A
Mo,1091.474,30000,C,5,nist,L19131,A
Mo,1095.198,5200,E,5,nist,L19131,A
Mo,1099.932,14000,E,5,nist,L19131,A
Mo,1101.529,42000,C,5,nist,L19131,A
Mo,1101.688,14000,E,5,nist,L19131,A
Mo,1101.909,22000,D,5,nist,L19131,A
Mo,1106.477,13000,C,5,nist,L19131,A
Mo,1108.151,260,E,5,nist,L19131,A
Mo,1109.222,13000,C,5,nist,L19131,A
Mo,1110.52,0,D,5,nist,L19131,A
Mo,1111.681,1900,C,5,nist,L19131,A
Mo,1112.836,12000,C,5,nist,L19131,A
Mo,1113.698,4900,C,5,nist,L19131,A
Mo,1116.214,24000,C,5,nist,L19131,A
Mo,1117.180,590,E,5,nist,L19131,A
Mo,1120.793,11000,C,5,nist,L19131,A
Mo,1121.422,10000,C,5,nist,L19131,A
Mo,1122.52,0,C,5,nist,L19131,A
Mo,1123.278,20000,E,5,nist,L19131,A
Mo,1124.263,330,D,5,nist,L19131,A
Mo,1124.544,22000,E,5,nist,L19131,A
Mo,1124.679,22000,C,5,nist,L19131,A
Mo,1125.221,860,C,5,nist,L19131,A
Mo,1125.669,43000,C,5,nist,L19131,A
Mo,1125.990,64000,C,5,nist,L19131,A
Mo,1126.624,42000,B,5,nist,L19131,A
Mo,1127.104,63000,C,5,nist,L19131,A
Mo,1127.606,63000,C,5,nist,L19131,A
Mo,1127.886,310,E,5,nist,L19131,A
Mo,1129.817,1000,E,5,nist,L19131,A
Mo,1132.498,6900,C,5,nist,L19131,A
Mo,1133.348,390,E,5,nist,L19131,A
Mo,1133.406,770,D,5,nist,L19131,A
Mo,1136.448,28000,C,5,nist,L19131,A
Mo,1137.334,9200,C,5,nist,L19131,A
Mo,1137.535,46000,C,5,nist,L19131,A
Mo,1137.999,91000,C,5,nist,L19131,A
Mo,1138.233,36000,C,5,nist,L19131,A
Mo,1138.233,36000,E,5,nist,L19131,A
Mo,1142.671,51000,C,5,nist,L19131,A
Mo,1143.991,30000,C,5,nist,L19131,A
Mo,1144.481,3300,C,5,nist,L19131,A
Mo,1144.974,20000,E,5,nist,L19131,A
Mo,1145.866,33000,C,5,nist,L19131,A
Mo,1146.896,400,D,5,nist,L19131,A
Mo,1147.620,8000,C,5,nist,L19131,A
Mo,1147.828,1600,C,5,nist,L19131,A
Mo,1148.504,79000,C,5,nist,L19131,A
Mo,1148.724,6300,E,5,nist,L19131,A
Mo,1154.154,2500,E,5,nist,L19131,A
Mo,1155.156,5700,B,5,nist,L19131,A
Mo,1155.218,14000,E,5,nist,L19131,A
Mo,1156.318,7000,C,5,nist,L19131,A
Mo,1157.576,6200,C,5,nist,L19131,A
Mo,1158.013,14000,E,5,nist,L19131,A
Mo,1159.908,26000,D,5,nist,L19131,A
Mo,1160.197,6600,C,5,nist,L19131,A
Mo,1161.402,58000,C,5,nist,L19131,A
Mo,1163.976,12000,D,5,nist,L19131,A
Mo,1167.457,23000,D,5,nist,L19131,A
Mo,1167.902,870,C,5,nist,L19131,A
Mo,1168.430,80000,C,5,nist,L19131,A
Mo,1168.969,28000,B,5,nist,L19131,A
Mo,1169.226,570,E,5,nist,L19131,A
Mo,1169.226,570,E,5,nist,L19131,A
Mo,1171.668,23000,D,5,nist,L19131,A
Mo,1172.281,28000,D,5,nist,L19131,A
Mo,1172.479,49000,C,5,nist,L19131,A
Mo,1173.938,9400,C,5,nist,L19131,A
Mo,1174.815,49000,C,5,nist,L19131,A
Mo,1175.400,150000,C,5,nist,L19131,A
Mo,1184.273,13000,E,5,nist,L19131,A
Mo,1186.047,480000,C,5,nist,L19131,A
