element,wavelength,intensity,acc,state,source,reference,unit
Zn,1193.231,0,,2,nist,L640,A
Zn,1277.306,0,,2,nist,L640,A
Zn,1366.682,0,,2,nist,L640,A
Zn,1366.682,0,,2,nist,L640,A
Zn,1410.443,0,,2,nist,L640,A
Zn,1439.091,0,,2,nist,L640,A
Zn,1445.042,0,,2,nist,L640,A
Zn,1456.907,0,,2,nist,L640,A
Zn,1477.016,0,,2,nist,L640,A
Zn,1514.763,0,,2,nist,L640,A
Zn,1572.991,0,,2,nist,L640,A
Zn,1617.675,0,,2,nist,L640,A
Zn,1658.251,0,,2,nist,L640,A
Zn,1713.251,0,,2,nist,L640,A
Zn,1715.760,0,,2,nist,L640,A
Zn,1735.607,0,,2,nist,L640,A
Zn,1735.607,0,,2,nist,L640,A
Zn,1736.889,0,,2,nist,L640,A
Zn,1737.895,0,,2,nist,L640,A
Zn,1747.124,0,,2,nist,L640,A
Zn,1762.191,0,,2,nist,L640,A
Zn,1774.040,0,,2,nist,L640,A
Zn,1790.759,0,,2,nist,L640,A
Zn,1797.643,100,,2,nist,L640,A
Zn,1811.008,100,,2,nist,L640,A
Zn,1816.479,0,,2,nist,L640,A
Zn,1831.376,0,,2,nist,L640,A
Zn,1833.573,100,,2,nist,L640,A
Zn,1836.007,0,,2,nist,L640,A
Zn,1836.654,0,,2,nist,L640,A
Zn,1847.562,0,,2,nist,L640,A
Zn,1864.117,100,,2,nist,L640,A
Zn,1866.077,100,,2,nist,L640,A
Zn,1872.128,100,,2,nist,L640,A
Zn,1894.259,0,,2,nist,L640,A
Zn,1901.523,0,,2,nist,L640,A
Zn,1914.806,0,,2,nist,L640,A
Zn,1918.962,100,,2,nist,L640,A
Zn,1920.271,0,,2,nist,L640,A
Zn,1929.670,100,C,2,nist,L640,A
Zn,1945.583,0,,2,nist,L640,A
Zn,1951.911,0,,2,nist,L640,A
Zn,1952.999,0,,2,nist,L640,A
Zn,1954.872,0,,2,nist,L640,A
Zn,1964.538,0,,2,nist,L640,A
Zn,1969.404,100,,2,nist,L640,A
Zn,1982.111,100,,2,nist,L640,A
Zn,1985.608,0,,2,nist,L640,A
Zn,1986.988,100,,2,nist,L640,A
Zn,1993.367,0,,2,nist,L640,A
Zn,1996.922,0,,2,nist,L640,A
Zn,2012.590,100,,2,nist,L640,A
Zn,2026.1371,500,B+,2,nist,"L9761,L640",A
Zn,2039.962,0,,2,nist,L640,A
Zn,2062.6604,500,B+,2,nist,"L9761,L640",A
Zn,2064.8863,200,C+,2,nist,"L9761,L640",A
Zn,2080.596,0,,2,nist,L640,A
Zn,2100.5939,300,C,2,nist,"L9761,L640",A
Zn,2102.8331,200,C+,2,nist,"L9761,L640",A
Zn,2123.412,0,,2,nist,L640,A
Zn,2148.095,0,,2,nist,L640,A
Zn,2210.865,0,,2,nist,L640,A
Zn,2273.852,0,,2,nist,L640,A
Zn,2502.7486,1000,C+,2,nist,"L9761,L640",A
Zn,2528.72,0,,2,nist,L640,A
Zn,2558.7132,1000,C+,2,nist,"L9761,L640",A
Zn,2568.564,0,,2,nist,L640,A
Zn,2568.745,0,,2,nist,L640,A
Zn,2571.422,0,C,2,nist,L45,A
Zn,2764.771,0,C,2,nist,L45,A
Zn,2783.63,0,C,2,nist,L45,A
Zn,2802.791,100,,2,nist,L45,A
Zn,2903.15,100,,2,nist,L45,A
Zn,3172.37,100,,2,nist,L45,A
Zn,3173.15,100,,2,nist,L45,A
Zn,3197.235,300,,2,nist,L45,A
Zn,3198.024,100,,2,nist,L45,A
Zn,3300.367,0,,2,nist,L45,A
Zn,3306.962,0,,2,nist,L45,A
Zn,3807.425,0,,2,nist,L45,A
Zn,3841.38,100,,2,nist,L45,A
Zn,4079.29,0,C,2,nist,L45,A
Zn,4120.55,0,C,2,nist,L45,A
Zn,4912.9982,800,C,2,nist,"L9761,L45",A
Zn,4925.2638,0,,2,nist,L9761,A
Zn,4925.3878,500,C,2,nist,"L9761,L45",A
Zn,5895.9942,500,,2,nist,"L9761,L45",A
Zn,6022.85,500,C,2,nist,L45,A
Zn,6104.18,500,C,2,nist,L45,A
Zn,6113.22,100,C,2,nist,L45,A
Zn,6216.2971,500,,2,nist,"L9761,L45",A
Zn,7480.8287,200,,2,nist,"L9761,L45",A
Zn,7590.5540,300,D+,2,nist,"L9761,L45",A
Zn,7615.0,100,D+,2,nist,L45,A
Zn,7734.6166,300,D+,2,nist,"L9761,L45",A
Zn,7760.0,200,D+,2,nist,L45,A
