element,wavelength,intensity,acc,state,source,reference,unit
Y,2243.741,350,,2,nist,"L10987,L3475",A
Y,2414.647,0,,2,nist,"L10987,L3475",A
Y,2422.922,560,,2,nist,"L10987,L3475",A
Y,2461.299,0,,2,nist,"L10987,L3475",A
Y,2735.636,0,,2,nist,"L10987,L3475",A
Y,2785.980,0,,2,nist,"L10987,L3475",A
Y,2786.384,0,,2,nist,"L10987,L3475",A
Y,2800.924,0,,2,nist,"L10987,L3475",A
Y,2826.193,0,,2,nist,"L10987,L3475",A
Y,2827.148,0,,2,nist,"L10987,L3475",A
Y,2855.255,0,,2,nist,"L10987,L3475",A
Y,2857.128,0,,2,nist,"L10987,L3475",A
Y,2858.707,0,,2,nist,"L10987,L3475",A
Y,2898.513,0,,2,nist,"L10987,L3475",A
Y,2899.643,0,,2,nist,"L10987,L3475",A
Y,2930.838,0,,2,nist,"L10987,L3475",A
Y,2974.763,0,,2,nist,"L10987,L3475",A
Y,2981.423,0,,2,nist,"L10987,L3475",A
Y,3027.336,0,,2,nist,"L10987,L3475",A
Y,3037.460,0,,2,nist,"L10987,L3475",A
Y,3056.117,0,,2,nist,"L10987,L3475",A
Y,3087.749,0,,2,nist,"L10987,L3475",A
Y,3094.650,0,,2,nist,"L10987,L3475",A
Y,3096.771,0,,2,nist,"L10987,L3475",A
Y,3112.932,0,C+,2,nist,"L10987,L3475",A
Y,3112.932,0,,2,nist,"L10987,L3475",A
Y,3129.638,0,,2,nist,"L10987,L3475",A
Y,3130.837,0,,2,nist,"L10987,L3475",A
Y,3136.076,0,,2,nist,"L10987,L3475",A
Y,3173.963,110,,2,nist,"L10987,L3475",A
Y,3180.335,220,B+,2,nist,"L10987,L3475",A
Y,3196.537,2300,B+,2,nist,"L10987,L3475",A
Y,3201.194,2200,B+,2,nist,"L10987,L3475",A
Y,3204.246,2200,B+,2,nist,"L10987,L3475",A
Y,3217.609,3560,B,2,nist,"L10987,L3475",A
Y,3217.660,340,,2,nist,"L10987,L3475",A
Y,3243.208,6200,B+,2,nist,"L10987,L3475",A
Y,3281.854,310,,2,nist,"L10987,L3475",A
Y,3309.327,0,,2,nist,"L10987,L3475",A
Y,3328.833,4700,,2,nist,"L10987,L3475",A
Y,3362.952,160,,2,nist,"L10987,L3475",A
Y,3449.792,200,B+,2,nist,"L10987,L3475",A
Y,3468.864,110,B,2,nist,"L10987,L3475",A
Y,3497.079,1700,B+,2,nist,"L10987,L3475",A
Y,3546.952,0,,2,nist,"L10987,L3475",A
Y,3550.016,3900,B+,2,nist,"L10987,L3475",A
Y,3585.537,3300,B+,2,nist,"L10987,L3475",A
Y,3601.758,10000,B+,2,nist,"L10987,L3475",A
Y,3602.943,6200,B+,2,nist,"L10987,L3475",A
Y,3612.073,7800,B+,2,nist,"L10987,L3475",A
Y,3629.734,1900,B+,2,nist,"L10987,L3475",A
Y,3634.157,7800,D+,2,nist,"L10987,L3475",A
Y,3665.654,3000,B+,2,nist,"L10987,L3475",A
Y,3669.526,0,,2,nist,"L10987,L3475",A
Y,3711.343,13000,B+,2,nist,"L10987,L3475",A
Y,3748.616,1200,D+,2,nist,"L10987,L3475",A
Y,3775.402,10000,B+,2,nist,"L10987,L3475",A
Y,3777.629,1400,D+,2,nist,"L10987,L3475",A
Y,3783.336,0,,2,nist,"L10987,L3475",A
Y,3789.769,7400,B+,2,nist,"L10987,L3475",A
Y,3819.425,1300,B+,2,nist,"L10987,L3475",A
Y,3833.976,4000,B+,2,nist,"L10987,L3475",A
Y,3849.141,0,,2,nist,"L10987,L3475",A
Y,3879.384,480,B+,2,nist,"L10987,L3475",A
Y,3931.771,240,B,2,nist,"L10987,L3475",A
Y,3951.467,4400,B+,2,nist,"L10987,L3475",A
Y,3952.708,150,B,2,nist,"L10987,L3475",A
Y,3983.718,3600,B+,2,nist,"L10987,L3475",A
Y,4126.068,320,B+,2,nist,"L10987,L3475",A
Y,4178.705,8000,B+,2,nist,"L10987,L3475",A
Y,4200.456,120,A,2,nist,"L10987,L3475",A
Y,4205.877,380,A+,2,nist,"L10987,L3475",A
Y,4236.920,600,A+,2,nist,"L10987,L3475",A
Y,4310.832,2800,A+,2,nist,"L10987,L3475",A
Y,4359.948,800,A+,2,nist,"L10987,L3475",A
Y,4376.162,12000,A,2,nist,"L10987,L3475",A
Y,4399.243,1800,A+,2,nist,"L10987,L3475",A
Y,4423.825,890,A+,2,nist,"L10987,L3475",A
Y,4683.632,260,A,2,nist,"L10987,L3475",A
Y,4787.914,160,C+,2,nist,"L10987,L3475",A
Y,4824.652,190,B,2,nist,"L10987,L3475",A
Y,4856.217,890,B,2,nist,"L10987,L3475",A
Y,4882.796,0,B,2,nist,"L10987,L3475",A
Y,4885.046,1900,B,2,nist,"L10987,L3475",A
Y,4901.486,1100,B,2,nist,"L10987,L3475",A
Y,4983.518,120,B,2,nist,"L10987,L3475",A
Y,5088.836,1100,B,2,nist,"L10987,L3475",A
Y,5120.536,210,B,2,nist,"L10987,L3475",A
Y,5124.637,450,D+,2,nist,"L10987,L3475",A
Y,5197.868,120,,2,nist,"L10987,L3475",A
Y,5201.857,960,B+,2,nist,"L10987,L3475",A
Y,5207.172,1500,B+,2,nist,"L10987,L3475",A
Y,5291.287,0,C+,2,nist,"L10987,L3475",A
Y,5322.262,0,C,2,nist,"L10987,L3475",A
Y,5404.275,220,,2,nist,"L10987,L3475",A
Y,5474.905,0,B,2,nist,"L10987,L3475",A
Y,5482.253,0,B,2,nist,"L10987,L3475",A
Y,5498.932,240,B,2,nist,"L10987,L3475",A
Y,5511.425,250,B+,2,nist,"L10987,L3475",A
Y,5523.096,120,,2,nist,"L10987,L3475",A
Y,5546.150,120,C+,2,nist,"L10987,L3475",A
Y,5547.548,0,C+,2,nist,"L10987,L3475",A
Y,5664.494,740,,2,nist,"L10987,L3475",A
Y,5730.475,0,C+,2,nist,"L10987,L3475",A
Y,5783.290,100,,2,nist,"L10987,L3475",A
Y,6615.558,0,D+,2,nist,"L10987,L3475",A
Y,6797.290,0,,2,nist,"L10987,L3475",A
Y,6834.365,0,C,2,nist,"L10987,L3475",A
Y,6860.113,0,,2,nist,"L10987,L3475",A
Y,6897.879,0,,2,nist,"L10987,L3475",A
Y,6953.571,0,,2,nist,"L10987,L3475",A
Y,7266.161,0,D+,2,nist,"L10987,L3475",A
Y,7334.969,0,,2,nist,"L10987,L3475",A
Y,7452.327,0,,2,nist,"L10987,L3475",A
Y,7884.046,110,D+,2,nist,"L10987,L3475",A
Y,8838.301,0,,2,nist,"L10987,L3475",A
