element,wavelength,intensity,acc,state,source,reference,unit
Al,1162.66,0,A,3,nist,L3474,A
Al,1162.66,0,A+,3,nist,L3474,A
Al,1162.67,0,A+,3,nist,L3474,A
Al,1192.60,0,,3,nist,L10555,A
Al,1274.05,0,,3,nist,L10555,A
Al,1336.05,0,,3,nist,L10555,A
Al,1352.857,100,A+,3,nist,L3455,A
Al,1352.857,100,A,3,nist,L3455,A
Al,1352.857,100,A+,3,nist,L3455,A
Al,137.46,0,,3,nist,L7221,A
Al,137.83,0,,3,nist,L7221,A
Al,1379.670,600,A+,3,nist,L3474,A
Al,138.10,0,,3,nist,L7221,A
Al,138.83,0,,3,nist,L7221,A
Al,1384.140,800,A+,3,nist,L3455,A
Al,1386.94,0,,3,nist,L10555,A
Al,1387.93,0,,3,nist,L10555,A
Al,1402.87,0,,3,nist,L10555,A
Al,1402.87,0,,3,nist,L10555,A
Al,143.95,0,,3,nist,L7221,A
Al,144.17,0,,3,nist,L7221,A
Al,1473.40,0,,3,nist,L10555,A
Al,1478.10,0,,3,nist,L10555,A
Al,1491.45,0,,3,nist,L10555,A
Al,1596.00,0,,3,nist,L10555,A
Al,1605.7661,700,A+,3,nist,L277,A
Al,1611.8141,100,A+,3,nist,L277,A
Al,1611.8735,800,A+,3,nist,L277,A
Al,169.07,0,,3,nist,L10300,A
Al,169.73,0,,3,nist,L10378,A
Al,169.82,0,,3,nist,L10378,A
Al,170.11,0,,3,nist,L10378,A
Al,170.11,0,,3,nist,L10300,A
Al,170.24,0,,3,nist,"L10300,L10378",A
Al,170.49,0,,3,nist,L10378,A
Al,170.57,0,,3,nist,L10378,A
Al,171.04,0,,3,nist,L10378,A
Al,171.12,0,,3,nist,L10378,A
Al,171.37,0,,3,nist,L10300,A
Al,172.1,0,,3,nist,L10300,A
Al,172.1,0,,3,nist,L10300,A
Al,172.31,0,,3,nist,L10300,A
Al,172.45,0,,3,nist,L10378,A
Al,172.62,0,,3,nist,L10300,A
Al,175.02,0,,3,nist,L10300,A
Al,175.02,0,,3,nist,L10300,A
Al,1854.7164,1000,A+,3,nist,L277,A
Al,1862.7895,600,A+,3,nist,L277,A
Al,1935.8404,300,A+,3,nist,L277,A
Al,1935.8404,300,A+,3,nist,L277,A
Al,1935.9489,200,A+,3,nist,L277,A
Al,2155.312,0,,3,nist,L3473,A
Al,2155.312,0,,3,nist,L3473,A
Al,2155.312,0,,3,nist,L3473,A
Al,2210.35,0,A,3,nist,L3473,A
Al,2214.25,0,A,3,nist,L3473,A
Al,2214.25,0,A,3,nist,L3473,A
Al,2300.18,0,A,3,nist,L3473,A
Al,2300.18,0,A,3,nist,L3473,A
Al,2300.18,0,A,3,nist,L3473,A
Al,2399.71,0,,3,nist,L3473,A
Al,2399.71,0,,3,nist,L3473,A
Al,2399.71,0,,3,nist,L3473,A
Al,2423.18,0,B,3,nist,L3473,A
Al,2423.18,0,B+,3,nist,L3473,A
Al,2423.18,0,B+,3,nist,L3473,A
Al,2763.631,0,A+,3,nist,L3473,A
Al,2763.631,0,A,3,nist,L3473,A
Al,2763.631,0,A+,3,nist,L3473,A
Al,2907.90,0,,3,nist,L3473,A
Al,2907.90,0,,3,nist,L3473,A
Al,2907.90,0,,3,nist,L3473,A
Al,2961.92,0,A,3,nist,L3473,A
Al,2961.92,0,A,3,nist,L3473,A
Al,3181.031,0,A,3,nist,L277,A
Al,3184.745,0,A,3,nist,L277,A
Al,3284.262,0,B+,3,nist,L277,A
Al,3288.249,0,A,3,nist,L277,A
Al,3349.480,0,A+,3,nist,L277,A
Al,3351.848,0,A+,3,nist,L277,A
Al,3602.656,0,A+,3,nist,L277,A
Al,3602.954,0,A+,3,nist,L277,A
Al,3613.386,0,A+,3,nist,L277,A
Al,3659.3,0,,3,nist,L3473,A
Al,3659.3,0,,3,nist,L3473,A
Al,3703.159,0,A+,3,nist,L277,A
Al,3714.179,0,A+,3,nist,L277,A
Al,3981.27,0,A+,3,nist,L277,A
Al,3981.27,0,A,3,nist,L277,A
Al,3999.294,0,A,3,nist,L277,A
Al,4002.507,0,A,3,nist,L277,A
Al,4083.603,0,A,3,nist,L277,A
Al,4089.765,0,A,3,nist,L277,A
Al,4143.54,0,,3,nist,L277,A
Al,4143.54,0,,3,nist,L277,A
Al,4151.085,0,A+,3,nist,L277,A
Al,4151.343,0,A+,3,nist,L277,A
Al,4152.08,0,,3,nist,L277,A
Al,4152.08,0,,3,nist,L277,A
Al,4152.08,0,,3,nist,L277,A
Al,4190.91,0,A,3,nist,L277,A
Al,4190.91,0,B+,3,nist,L277,A
Al,4190.91,0,A,3,nist,L277,A
Al,4358.787,0,A+,3,nist,L277,A
Al,4365.869,0,A+,3,nist,L277,A
Al,4481.149,0,,3,nist,L277,A
Al,4481.225,0,,3,nist,L277,A
Al,4513.830,0,A+,3,nist,L277,A
Al,4530.212,0,A+,3,nist,L277,A
Al,4530.464,0,A+,3,nist,L277,A
Al,4702.463,0,A+,3,nist,L277,A
Al,4702.728,0,A+,3,nist,L277,A
Al,486.95,0,B,3,nist,L3474,A
Al,486.95,0,B,3,nist,L3474,A
Al,4905.47,0,A+,3,nist,L277,A
Al,4905.47,0,A+,3,nist,L277,A
Al,511.215,250,B+,3,nist,L3474,A
Al,511.215,250,B+,3,nist,L3474,A
Al,5152.44,0,,3,nist,L277,A
Al,5152.44,0,,3,nist,L277,A
Al,5165.33,0,,3,nist,L277,A
Al,5165.33,0,,3,nist,L277,A
Al,5172.04,0,,3,nist,L277,A
