element,wavelength,intensity,acc,state,source,reference,unit
P,1025.563,570,C+,4,nist,L4144,A
P,1028.096,500,C+,4,nist,L4144,A
P,1030.517,570,C+,4,nist,L4144,A
P,1030.517,570,C+,4,nist,L4144,A
P,1033.111,500,C+,4,nist,L4144,A
P,1035.517,500,C+,4,nist,L4144,A
P,1118.551,570,C,4,nist,L4144,A
P,1206.422,200,,4,nist,L4144,A
P,1335.705,200,,4,nist,L4144,A
P,1366.695,500,,4,nist,L4144,A
P,1372.674,400,,4,nist,L4144,A
P,1377.282,350,,4,nist,L4144,A
P,1484.507,500,,4,nist,L4144,A
P,1487.788,400,,4,nist,L4144,A
P,1489.098,300,,4,nist,L4144,A
P,1862.762,250,,4,nist,L4144,A
P,1862.893,120,,4,nist,L4144,A
P,1863.580,200,,4,nist,L4144,A
P,1888.523,650,E,4,nist,L4144,A
P,1910.183,200,,4,nist,L4144,A
P,1985.682,120,,4,nist,L4144,A
P,1985.851,150,,4,nist,L4144,A
P,1986.114,200,,4,nist,L4144,A
P,1987.022,150,,4,nist,L4144,A
P,2478.571,200,,4,nist,L4144,A
P,2478.819,150,,4,nist,L4144,A
P,2479.005,250,,4,nist,L4144,A
P,2606.284,250,,4,nist,L4144,A
P,2645.083,400,,4,nist,L4144,A
P,2725.571,300,,4,nist,L4144,A
P,2729.578,400,,4,nist,L4144,A
P,2729.928,200,,4,nist,L4144,A
P,2740.120,500,,4,nist,L4144,A
P,2740.683,250,,4,nist,L4144,A
P,2741.034,200,,4,nist,L4144,A
P,282.301,0,,4,nist,L4144,A
P,2962.107,200,,4,nist,L4144,A
P,304.996,0,,4,nist,L4144,A
P,3348.698,650,C+,4,nist,L4144,A
P,3365.434,570,C+,4,nist,L4144,A
P,3372.090,400,D,4,nist,L4144,A
P,3414.522,200,,4,nist,L4144,A
P,359.293,120,,4,nist,L4144,A
P,359.899,150,,4,nist,L4144,A
P,361.514,120,,4,nist,L4144,A
P,361.629,150,,4,nist,L4144,A
P,371.299,120,D,4,nist,L4144,A
P,371.504,150,D,4,nist,L4144,A
P,372.001,200,D,4,nist,L4144,A
P,3734.455,200,,4,nist,L4144,A
P,388.318,500,D,4,nist,L4144,A
P,414.604,120,,4,nist,L4144,A
P,414.999,200,,4,nist,L4144,A
P,415.805,250,,4,nist,L4144,A
P,4250.852,300,C,4,nist,L4144,A
P,444.245,250,E,4,nist,L4144,A
P,445.158,300,E,4,nist,L4144,A
P,4541.561,250,,4,nist,L4144,A
P,4542.385,250,,4,nist,L4144,A
P,4549.331,150,,4,nist,L4144,A
P,4549.724,200,,4,nist,L4144,A
P,5236.956,150,,4,nist,L4144,A
P,568.038,250,,4,nist,L4144,A
P,5991.433,150,,4,nist,L4144,A
P,6144.305,150,,4,nist,L4144,A
P,629.008,350,C,4,nist,L4144,A
P,629.914,400,C,4,nist,L4144,A
P,631.779,500,C,4,nist,L4144,A
P,648.482,350,,4,nist,L4144,A
P,6715.793,150,,4,nist,L4144,A
P,6717.760,120,,4,nist,L4144,A
P,7445.707,200,,4,nist,L4144,A
P,756.510,300,E,4,nist,L4144,A
P,776.353,300,C,4,nist,L4144,A
P,823.179,650,B,4,nist,L4144,A
P,824.730,700,B,4,nist,L4144,A
P,824.730,700,C,4,nist,L4144,A
P,827.932,800,B,4,nist,L4144,A
P,827.932,800,C,4,nist,L4144,A
P,827.932,800,D,4,nist,L4144,A
P,847.019,250,D,4,nist,L4144,A
P,849.799,350,D,4,nist,L4144,A
P,850.392,200,D,4,nist,L4144,A
P,877.476,700,D,4,nist,L4144,A
P,950.655,1000,B,4,nist,L4144,A
