element,wavelength,intensity,acc,state,source,reference,unit
Y,1000.56,150,,3,nist,L2592,A
Y,1003.35,0,,3,nist,L2592,A
Y,1006.58,1000,,3,nist,L2592,A
Y,1007.86,1200,,3,nist,L2592,A
Y,1077.52,120,,3,nist,L2592,A
Y,1081.35,500,,3,nist,L2592,A
Y,1084.63,0,,3,nist,L2592,A
Y,1088.39,350,,3,nist,L2592,A
Y,1095.25,250,,3,nist,L2592,A
Y,1095.87,0,,3,nist,L2592,A
Y,1103.21,150,,3,nist,L2592,A
Y,1289.74,3000,,3,nist,L2592,A
Y,1306.96,2500,,3,nist,L2592,A
Y,1314.51,5000,,3,nist,L2592,A
Y,1316.10,1500,,3,nist,L2592,A
Y,1334.04,4000,,3,nist,L2592,A
Y,1549.08,0,,3,nist,L2592,A
Y,1553.81,0,,3,nist,L2592,A
Y,1635.14,0,,3,nist,L2592,A
Y,1640.43,0,,3,nist,L2592,A
Y,1779.80,200,,3,nist,L2592,A
Y,1786.05,600,,3,nist,L2592,A
Y,2042.59,0,,3,nist,L2592,A
Y,2042.73,0,,3,nist,L2592,A
Y,2061.24,1500,,3,nist,L2592,A
Y,2069.64,4000,,3,nist,L2592,A
Y,2128.65,10000,,3,nist,L2592,A
Y,2191.85,16000,,3,nist,L2592,A
Y,2201.45,8000,,3,nist,L2592,A
Y,2206.72,8000,,3,nist,L2592,A
Y,2262.11,150,,3,nist,L2592,A
Y,2262.27,0,,3,nist,L2592,A
Y,2285.04,10000,,3,nist,L2592,A
Y,2320.63,0,,3,nist,L2592,A
Y,2328.02,10000,,3,nist,L2592,A
Y,2367.95,50000,,3,nist,L2592,A
Y,2415.37,40000,,3,nist,L2592,A
Y,2711.10,100,,3,nist,L2592,A
Y,2711.34,0,,3,nist,L2592,A
Y,2780.93,0,,3,nist,L2592,A
Y,2792.26,0,,3,nist,L2592,A
Y,2804.10,0,,3,nist,L2592,A
Y,2807.83,100,,3,nist,L2592,A
Y,2817.87,90000,,3,nist,L2592,A
Y,2868.51,6000,,3,nist,L2592,A
Y,2914.26,6000,,3,nist,L2592,A
Y,2918.59,1500,,3,nist,L2592,A
Y,2919.41,1600,,3,nist,L2592,A
Y,2941.39,0,,3,nist,L2592,A
Y,2946.87,99000,,3,nist,L2592,A
Y,2949.34,0,,3,nist,L2592,A
Y,2971.29,6000,,3,nist,L2592,A
Y,3014.81,1400,,3,nist,L2592,A
Y,3019.73,1500,,3,nist,L2592,A
Y,3268.04,0,,3,nist,L2592,A
Y,3277.74,0,,3,nist,L2592,A
Y,3868.06,500,,3,nist,L2592,A
Y,3901.85,3000,,3,nist,L2592,A
Y,3915.69,4000,,3,nist,L2592,A
Y,4040.74,3800,,3,nist,L2592,A
Y,4041.25,3000,,3,nist,L2592,A
Y,4122.77,120,,3,nist,L2592,A
Y,4738.95,2000,,3,nist,L2592,A
Y,5104.30,7500,,3,nist,L2592,A
Y,5121.83,1300,,3,nist,L2592,A
Y,5239.56,10000,,3,nist,L2592,A
Y,5265.04,3000,,3,nist,L2592,A
Y,5385.14,4000,,3,nist,L2592,A
Y,5564.35,6000,,3,nist,L2592,A
Y,5568.82,600,,3,nist,L2592,A
Y,5573.79,4000,,3,nist,L2592,A
Y,5597.03,400,,3,nist,L2592,A
Y,5603.64,3000,,3,nist,L2592,A
Y,643.68,0,,3,nist,L2592,A
Y,646.69,0,,3,nist,L2592,A
Y,653.87,0,,3,nist,L2592,A
Y,656.98,0,,3,nist,L2592,A
Y,668.74,0,,3,nist,L2592,A
Y,671.98,0,,3,nist,L2592,A
Y,691.72,100,,3,nist,L2592,A
Y,693.85,0,,3,nist,L2592,A
Y,695.20,200,,3,nist,L2592,A
Y,7256.58,2000,,3,nist,L2592,A
Y,727.91,0,,3,nist,L2592,A
Y,728.47,0,,3,nist,L2592,A
Y,728.83,0,,3,nist,L2592,A
Y,729.73,0,,3,nist,L2592,A
Y,730.49,600,,3,nist,L2592,A
Y,732.70,0,,3,nist,L2592,A
Y,734.36,800,,3,nist,L2592,A
Y,7560.79,9000,,3,nist,L2592,A
Y,770.78,0,,3,nist,L2592,A
Y,771.79,0,,3,nist,L2592,A
Y,7866.69,6000,,3,nist,L2592,A
Y,7918.89,8000,,3,nist,L2592,A
Y,7991.61,400,,3,nist,L2592,A
Y,7993.63,10000,,3,nist,L2592,A
Y,804.26,0,,3,nist,L2592,A
Y,805.20,5000,,3,nist,L2592,A
Y,806.18,0,,3,nist,L2592,A
Y,808.97,150,,3,nist,L2592,A
Y,809.92,7000,,3,nist,L2592,A
Y,8173.66,8000,,3,nist,L2592,A
Y,855.64,100,,3,nist,L2592,A
Y,857.82,0,,3,nist,L2592,A
Y,8647.46,4000,,3,nist,L2592,A
Y,8798.63,10000,,3,nist,L2592,A
Y,9119.09,8000,,3,nist,L2592,A
Y,984.23,0,,3,nist,L2592,A
Y,987.96,0,,3,nist,L2592,A
Y,989.21,15000,,3,nist,L2592,A
Y,996.37,25000,,3,nist,L2592,A
Y,999.19,0,,3,nist,L2592,A
