element,wavelength,intensity,acc,state,source,reference,unit
Mo,1166.07,0,,3,nist,L7364,A
Mo,1169.33,100,,3,nist,L7364,A
Mo,1173.67,0,,3,nist,L7364,A
Mo,1209.60,0,,3,nist,L7364,A
Mo,1225.46,0,,3,nist,L7364,A
Mo,1230.34,0,,3,nist,L7364,A
Mo,1234.63,0,,3,nist,L7364,A
Mo,1236.10,0,,3,nist,L7364,A
Mo,1254.93,100,,3,nist,L7364,A
Mo,1258.52,100,,3,nist,L7364,A
Mo,1262.21,100,,3,nist,L7364,A
Mo,1263.74,100,,3,nist,L7364,A
Mo,1274.37,100,,3,nist,L7364,A
Mo,1274.94,0,,3,nist,L7364,A
Mo,1276.40,100,,3,nist,L7364,A
Mo,1277.40,200,,3,nist,L7364,A
Mo,1277.58,200,,3,nist,L7364,A
Mo,1278.06,100,,3,nist,L7364,A
Mo,1278.40,200,,3,nist,L7364,A
Mo,1281.90,150,,3,nist,L7364,A
Mo,1283.60,150,,3,nist,L7364,A
Mo,1286.42,100,,3,nist,L7364,A
Mo,1288.07,0,,3,nist,L7364,A
Mo,1288.25,0,,3,nist,L7364,A
Mo,1290.49,100,,3,nist,L7364,A
Mo,1299.82,100,,3,nist,L7364,A
Mo,1305.58,0,,3,nist,L7364,A
Mo,1437.37,0,,3,nist,L7364,A
Mo,1452.38,0,,3,nist,L7364,A
Mo,1534.86,0,,3,nist,L7364,A
Mo,1751.22,0,,3,nist,L7364,A
Mo,1760.57,0,,3,nist,L7364,A
Mo,1807.60,0,,3,nist,L7364,A
Mo,1854.73,100,,3,nist,L7364,A
Mo,2165.87,0,,3,nist,L7364,A
Mo,2171.25,0,,3,nist,L7364,A
Mo,2173.14,0,,3,nist,L7364,A
Mo,2180.05,0,,3,nist,L7364,A
Mo,2185.05,100,,3,nist,L7364,A
Mo,2211.71,100,,3,nist,L7364,A
Mo,2223.88,0,,3,nist,L7364,A
Mo,2253.88,100,,3,nist,L7364,A
Mo,2270.41,150,,3,nist,L7364,A
Mo,2276.17,0,,3,nist,L7364,A
Mo,2276.34,0,,3,nist,L7364,A
Mo,2295.68,200,,3,nist,L7364,A
Mo,2304.97,0,,3,nist,L7364,A
Mo,2327.46,0,,3,nist,L7364,A
Mo,2331.65,150,,3,nist,L7364,A
Mo,2360.48,100,,3,nist,L7364,A
Mo,2387.69,0,,3,nist,L7364,A
Mo,2404.34,0,,3,nist,L7364,A
Mo,2413.44,0,,3,nist,L7364,A
Mo,2422.92,0,,3,nist,L7364,A
Mo,2506.95,200,,3,nist,L7364,A
Mo,2597.91,0,,3,nist,L7364,A
Mo,2756.87,0,,3,nist,L7364,A
Mo,2808.57,100,,3,nist,L7364,A
Mo,2948.18,125,,3,nist,L7364,A
Mo,2984.81,0,,3,nist,L7364,A
Mo,3255.64,0,,3,nist,L7364,A
Mo,3272.63,200,,3,nist,L7364,A
